date,spot,vol_factor,realized_vol,rate_shift,value,delta,gamma,vega,theta,rho,vanna,volga,delta_sabr,delta_bartlett,vanna_analytic,volga_analytic,vega_0-3M,vega_3M-6M,vega_6M-1Y,vega_1Y+
2025-12-04,684.3900146484375,0.8812203310337603,0.12812675184174116,0.00019000053405762024,1243122.8296402858,4261.77001901051,1.1239910465138259,1390567.5424323194,-162185.38498867222,4453874.672095079,-22594.075417360888,-2360837.556251738,4715.286459406105,4083.515482771081,-22562.753094243715,-2354376.536970564,0.0,0.0,1080922.4061494828,309645.1362828375
2025-12-05,685.6900024414062,0.8558808170620311,0.12444246369709815,9.99999046325667e-05,1247590.9863002035,4282.270411649854,0.7520837409356638,1363867.8810109426,-160121.55083222943,4470406.891685718,-22722.67031075624,-2072675.3424298745,4727.7255839538775,4112.987439732233,-22691.133481304263,-2066760.9953397904,0.0,0.0,1062284.65997918,301583.22103176266
2025-12-08,683.6300048828125,0.8336994897687395,0.12121736627532845,0.0002500009536743203,1235732.7511098627,4338.044149382043,1.2093602692242484,1409835.8914205618,-164422.02790871676,4496690.848765679,-23341.861877963653,-2619948.062131527,4807.714526063793,4161.550532837949,-23310.116031246584,-2612494.1470970353,0.0,0.0,1058436.1770417597,351399.7143788021
2025-12-09,683.0399780273438,0.8086314255810207,0.11757254610241573,0.00039000034332275363,1231939.5358557247,4372.880522432656,1.291411938801751,1422122.2717562364,-165592.7300003362,4518306.535424117,-23713.896124351806,-2771992.3618727196,4849.772898301354,4196.128335312753,-23681.86938193438,-2763999.3256683834,0.0,0.0,1051369.75774542,370752.51401081635
2025-12-10,687.5700073242188,0.8036813731883852,0.11685282356291098,0.0,1252030.8898252423,4351.645269986182,0.1350167370889146,1324128.7296822984,-157989.947329139,4510710.154330301,-23225.559167133455,-1681551.000847321,4788.25378204742,4200.552903721714,-23193.783635888845,-1676156.5822051316,0.0,0.0,1016635.2632445097,307493.4664377887
2025-12-11,689.1699829101562,0.7816734686598545,0.1136529412828734,-0.00024999856948852706,1257470.4591336013,4367.134067290304,-0.2951378649753309,1292475.6979484526,-155253.97522166715,4524319.270185347,-23280.31634274983,-1337127.4356975965,4791.771225822634,4226.343540660271,-23248.501123539405,-1332407.6124357488,0.0,0.0,996535.7886367207,295939.9093117318
2025-12-12,681.760009765625,0.811131632823251,0.11793606861953963,-0.0006799983978271404,1218502.689330804,4404.100278783285,1.9117869442666553,1477813.904920747,-168722.69919846847,4530445.762129787,-24077.730987147836,-3419739.5187368337,4905.452013976924,4216.556641834835,-24046.26765309715,-3410027.7369498704,0.0,0.0,1053658.394475204,424155.5104455431
2025-12-15,680.72998046875,0.7874601671148419,0.11449430961133147,-0.0005499982833862271,1211398.8571060873,4457.755540829491,2.16332153847803,1503036.5442958102,-171544.65491019376,4555567.04272132,-24613.68758707861,-3746255.1335426057,4973.952368460004,4268.536804219288,-24582.360098297922,-3735504.534982479,0.0,0.0,1042258.2005048115,460778.3437909987
2025-12-16,678.8699951171875,0.7669694593780783,0.11151502312327452,-0.00047999858856201394,1200598.4060314796,4498.208360955508,2.7220228800036033,1551011.2268451331,-175133.64379283902,4577160.047063161,-25114.668345197217,-4311067.469146224,5036.390422443736,4298.919123149241,-25083.58987696393,-4298787.507797432,0.0,0.0,1045972.6325914739,505038.5942536602
2025-12-17,671.4000244140625,0.800317304715181,0.11636369825421636,-0.0004999995231628404,1161887.4812023751,4507.5638415237945,5.430683824707849,1744482.471776106,-189098.95284260914,4558713.060813953,-25514.83341849756,-6536791.277786449,5126.235169752867,4252.371510773306,-25487.200294390575,-6519600.393516544,0.0,0.0,1107544.1349654463,636938.3368106596
2025-12-18,676.469970703125,0.8015953056858289,0.1165495157024221,-0.0007099986076354939,1187354.9831164621,4492.876521797289,3.6517409162840764,1615666.0399021055,-180454.28845356376,4557262.474130496,-25112.04267676555,-5061803.5530007435,5058.8766625123535,4275.411816884707,-25082.391270863525,-5047924.778832208,0.0,0.0,-2300509.0156980613,3916175.0556001673
2025-12-19,680.5900268554688,0.7939595997722045,0.11543930732175096,-0.0007099986076354939,1208176.0461611324,4484.95295282161,2.269241643840896,1510966.387690092,-173390.34616703587,4557837.312378217,-24794.07763380305,-3879552.9921870297,5008.39939798278,4297.414676087629,-24763.368025996846,-3868379.277531878,0.0,0.0,-2314529.6476976955,3825496.035387787
2025-12-22,684.8300170898438,0.7874873474552767,0.1144982615500365,-0.0006499981880188008,1228861.8459633004,4485.747001822464,0.9242243130075494,1404490.6680554445,-166767.64855093346,4555739.237938657,-24475.705523641587,-2712759.1048520124,4967.471466476303,4329.299139988657,-24444.72695118138,-2704254.9741632342,0.0,0.0,-2322559.849474241,3727050.5175296855
2025-12-23,687.9600219726562,0.7731756978100344,0.1124173912864206,-0.00046000003814697377,1244979.5978841605,4481.787480344117,-0.07223748591017198,1324224.657227905,-161257.35952693003,4556109.049052767,-24210.061023458,-1829913.669276096,4930.8944034301685,4347.243549697392,-24178.97503002384,-1823443.6759067895,0.0,0.0,-2328540.663067391,3652765.3202952966
2025-12-24,690.3800048828125,0.7554809792449286,0.10984463310704322,-0.0003799986839294403,1256701.3182048188,4485.167786374792,-0.8253604898399445,1264279.1534403432,-156914.24717284052,4560668.558685385,-24060.017103253293,-1177919.64142384,4910.0741524060895,4367.339894325294,-24029.000563937865,-1172894.7980303774,0.0,0.0,-2332388.249912186,3596667.4033525293
2025-12-26,690.3099975585938,0.73247100599441,0.10649905308723616,-0.0004999995231628404,1254064.3813360552,4526.039299510299,-0.8940742534986015,1267713.9593990599,-157323.04961567844,4583010.251068391,-24435.891089311648,-1238493.2178198956,4954.656981033287,4411.468889518815,-24404.78543979199,-1233050.1701597786,0.0,0.0,-2331815.4839611812,3599529.443360241
2025-12-29,687.8499755859375,0.7165461984213191,0.10418363457476118,-0.0005499982833862271,1239146.501482125,4592.11725219975,-0.27082661167532507,1328763.7030235385,-162724.80306894163,4611713.966842249,-25194.145841188878,-1956657.9771205299,5050.21144444065,4467.636436939361,-25163.07799984957,-1949160.7801976353,0.0,0.0,-2324969.709466976,3653733.412490514
2025-12-30,687.010009765625,0.6954854352040388,0.10112146375628656,-0.000529999732971187,1233565.7478776083,4631.148889975804,-0.10284468652020706,1349732.901273266,-164418.51655781898,4633813.068153341,-25627.29009326527,-2206859.4530449556,5099.9165611382305,4504.357414463837,-25596.16443548982,-2198511.6721800594,0.0,0.0,-2323730.9726505363,3673463.8739238027
2025-12-31,681.9199829101562,0.7030158616270249,0.10221636481971136,-0.00046000003814697377,1206501.799035387,4675.923212158196,1.588421747941446,1481138.4513356467,-174819.3178683644,4646703.698207598,-26376.40536362635,-3710068.0321555063,5202.5619230241045,4516.377737799644,-26346.225278646074,-3698091.7908463953,0.0,0.0,-2307925.623610762,3789064.0749464086
2026-01-02,683.1699829101562,0.6833566055624354,0.09935796887209856,-0.000599999427795414,1210656.4988923753,4706.458087343984,1.1273910223607864,1452646.1641179156,-172847.1150888098,4663408.477452728,-26568.868133162658,-3413963.201512615,5223.021859796375,4558.2075760839725,-26538.638507040843,-3402399.8334674677,0.0,0.0,-2311189.19858352,3763835.3627014356
2026-01-05,687.719970703125,0.685910230049209,0.0997292580938645,-0.000779998302459714,1232895.6714034681,4690.559981287851,-0.3739382385160468,1336855.408478864,-164785.97391673498,4650239.982803455,-26015.027334008082,-2140434.1300566904,5158.819277592378,4574.674921443904,-25984.64719806121,-2131818.1668646345,0.0,0.0,-2319038.1347458074,3655893.5432246714
2026-01-06,691.8099975585938,0.6836606697835091,0.09940217888363084,-0.0007299995422363273,1254356.235726873,4659.4320940634825,-1.6634733511499569,1231596.6934170863,-156920.76080568996,4634139.920961786,-25372.044970539653,-980608.7635945464,5082.242262962788,4569.998731469484,-25341.76937031404,-974791.2856853232,0.0,0.0,-2324765.03455585,3556361.7279729364
2026-01-07,689.5800170898438,0.668433844680167,0.0971882448961287,-0.000779998302459714,1241294.8554388296,4709.584148692397,-1.0656725124618234,1288510.9947518064,-161429.14919775887,4659616.895618882,-26019.277397638758,-1627666.3048930122,5158.694247560278,4609.152152251549,-25988.96520788395,-1620023.0337683745,0.0,0.0,-2321844.609528194,3610355.6042800006
2026-01-08,689.510009765625,0.6480763448307569,0.09422832642912761,-0.0008599996566772475,1239303.7473649625,4742.75216012724,-1.1321912159354497,1291695.917093906,-161532.1257165635,4679043.697394332,-26341.34953229069,-1678461.8191675795,5194.501484942693,4644.422819942875,-26311.057531155813,-1670406.73465084,0.0,0.0,-2322875.3129245075,3614571.2300184136
2026-01-09,694.0700073242188,0.6525938718520622,0.09488516109715908,-0.0007999992370605474,1263628.838011756,4695.174368460486,-2.522358325238514,1174294.7957480652,-152647.74802084314,4652463.081718514,-25475.70808691567,-389699.75312795583,5095.542000588282,4625.003821541039,-25445.756350804284,-384854.520123085,0.0,0.0,-2326985.415315952,3501280.2110640174
2026-01-12,695.1599731445312,0.634103394381114,0.0921967019968382,-0.000599999427795414,1268665.4955227543,4729.371694350873,-3.0607435940644017,1140047.0167518281,-150896.5282114569,4664516.2836029045,-25623.21942887595,-58261.13852151483,5117.355287336987,4672.024780222522,-25593.647848846886,-53859.01771294419,0.0,0.0,-2325530.7662943285,3465577.7830461566
2026-01-13,693.77001953125,0.6171118198974607,0.08972617882505259,-0.0003299999237060536,1261800.0694440776,4773.913566629998,-2.845025757640631,1167229.2896364746,-153806.35542720853,4686516.686206897,-26135.51150133716,-372773.24329125043,5175.674680587606,4713.0329158395325,-26105.812754099203,-367328.796027882,0.0,0.0,-2324248.923242417,3491478.2128788917
2026-01-14,690.3599853515625,0.6126516561956878,0.08907768460894637,-0.0003299999237060536,1242804.9346459168,4830.411354869151,-1.8302915200416585,1255059.6996968668,-161147.02204716974,4711259.054020125,-26946.358284808353,-1363101.3847364662,5272.371686679335,4750.797708032948,-26916.729363873805,-1355042.4208165985,0.0,0.0,-2319541.22296922,3574600.922666087
2026-01-15,692.239990234375,0.5984239084589801,0.0870090134272573,-0.0002799987792968736,1252392.9579332052,4833.930860455521,-2.5515630477875852,1203532.9138512257,-157217.5391155585,4714232.90026735,-26797.261005606582,-805456.5985403871,5253.942482988001,4768.768417461681,-26767.69474259404,-798539.3136180481,0.0,0.0,-2322490.5560260145,3526023.4698772402
