date,spot,vol_factor,0-3M,3M-6M,6M-1Y,1Y+,total_parallel,sum_buckets,interaction
2025-10-17,664.3900146484375,0.8748618056870576,0.0,0.0,1369786.0425382853,404864.6569523029,1774650.6994905998,1774650.6994905882,1.1641532182693481e-08
2025-10-20,671.2999877929688,0.8922044125526469,0.0,0.0,1317182.010955771,305165.0624236092,1622347.0733793802,1622347.0733793802,0.0
2025-10-21,671.2899780273438,0.8650243638045878,0.0,0.0,1309420.1539051603,320305.59759336757,1629725.7514985395,1629725.7514985278,1.1641532182693481e-08
2025-10-22,667.7999877929688,0.8501786704606641,0.0,0.0,1327632.066256029,386209.792576381,1713841.85883241,1713841.85883241,0.0
2025-10-23,671.760009765625,0.8393077705636524,0.0,0.0,1294369.9032516917,328533.81340742344,1622903.7166591035,1622903.7166591152,-1.1641532182693481e-08
2025-10-24,677.25,0.8423502050100654,0.0,0.0,1255008.6153645534,248347.70467724884,1503356.3200418022,1503356.3200418022,0.0
2025-10-27,685.239990234375,0.8748528267492607,0.0,0.0,1201191.0465517314,138569.17740657227,1339760.2239583153,1339760.2239583037,1.1641532182693481e-08
2025-10-28,687.0599975585938,0.8511624562392941,0.0,0.0,1180274.7629149933,121241.29576304695,1301516.0586780403,1301516.0586780403,0.0
2025-10-29,687.3900146484375,0.8253325460427855,0.0,0.0,1167878.3939026296,124499.84075727407,1292378.2346599502,1292378.2346599037,4.6566128730773926e-08
2025-10-30,679.8300170898438,0.8530984016198916,0.0,0.0,1219744.3040825077,229883.73145232908,1449628.0355348368,1449628.0355348368,0.0
2025-10-31,682.0599975585938,0.8317335539729227,0.0,0.0,1198138.1510106847,212235.02233227482,1410373.1733429711,1410373.1733429595,1.1641532182693481e-08
2025-11-03,683.3400268554688,0.8079530850231935,0.0,0.0,1170266.2287783576,198919.3971077213,1369185.6258860556,1369185.625886079,-2.3283064365386963e-08
2025-11-04,675.239990234375,0.8457656278736765,0.0,0.0,1230659.4742871705,318784.90030401153,1549444.374591182,1549444.374591182,0.0
2025-11-05,677.5800170898438,0.825203083309836,0.0,0.0,1206491.8790546479,292095.67381582456,1498587.5528704608,1498587.5528704724,-1.1641532182693481e-08
2025-11-06,670.3099975585938,0.8504886689068519,0.0,0.0,1261175.1683611423,413704.8178157653,1674879.986176896,1674879.9861769076,-1.1641532182693481e-08
2025-11-07,670.969970703125,0.8249992539720951,0.0,0.0,1247953.3892193576,416851.43724570516,1664804.8264650628,1664804.8264650628,0.0
2025-11-10,681.4400024414062,0.9006998104739616,0.0,0.0,1180692.8689637687,230014.45642062463,1410707.3253843933,1410707.3253843933,0.0
2025-11-11,683.0,0.8753994926886519,0.0,0.0,1161047.8047518292,216596.09415597515,1377643.8989077928,1377643.8989078044,-1.1641532182693481e-08
2025-11-12,683.3800048828125,0.8488616451637765,0.0,0.0,1148933.42065271,222449.92381174816,1371383.344464458,1371383.344464458,0.0
2025-11-13,672.0399780273438,0.9368007474819118,0.0,0.0,1242006.0259771533,379087.30756122386,1621093.3335383772,1621093.3335383772,0.0
2025-11-14,671.9299926757812,0.9082725702603299,0.0,0.0,1233866.3077332661,395421.3929147576,1629287.700648047,1629287.7006480237,2.3283064365386963e-08
2025-11-17,665.6699829101562,0.9154909227714292,0.0,0.0,1270864.3601199263,516016.78742865333,1786881.1475485796,1786881.1475485796,0.0
2025-11-18,660.0800170898438,0.9158051859955278,0.0,0.0,1308836.598953826,619885.5835144874,1928722.1824683016,1928722.1824683133,-1.1641532182693481e-08
2025-11-19,662.6300048828125,0.8938736081767171,0.0,0.0,1282681.8017364712,587655.8743215632,1870337.6760579995,1870337.6760580344,-3.4924596548080444e-08
2025-11-20,652.530029296875,0.9590636420043887,0.0,0.0,1365635.891600547,746591.9523290126,2112227.843929571,2112227.8439295595,1.1641532182693481e-08
2025-11-21,659.030029296875,0.9668935062648153,0.0,0.0,1316875.4735435243,637056.1898305081,1953931.663374009,1953931.6633740324,-2.3283064365386963e-08
2025-11-24,668.72998046875,1.0156191027529595,0.0,0.0,1246804.3895769631,464543.69536244776,1711348.084939411,1711348.084939411,0.0
2025-11-25,675.02001953125,1.0160119077769647,0.0,0.0,1200728.3105762908,364409.3800683506,1565137.690644653,1565137.6906446414,1.1641532182693481e-08
2025-11-26,679.6799926757812,1.0020955287460267,0.0,0.0,1162721.5255602496,294831.021916552,1457552.5474768132,1457552.5474768016,1.1641532182693481e-08
2025-11-28,683.3900146484375,0.9824144056637825,0.0,0.0,1129509.2306188075,260152.92573340703,1389662.1563522145,1389662.1563522145,0.0
2025-12-01,680.27001953125,0.9603155029592764,0.0,0.0,1134392.6096667885,327843.6684614513,1462236.2781282165,1462236.2781282398,-2.3283064365386963e-08
2025-12-02,681.530029296875,0.9323747656895653,0.0,0.0,1116674.6993378038,323608.80272239447,1440283.5020601982,1440283.5020601982,0.0
2025-12-03,683.8900146484375,0.9086857749311932,0.0,0.0,1093020.952002355,303132.59004617576,1396153.5420485074,1396153.5420485307,-2.3283064365386963e-08
2025-12-04,684.3900146484375,0.8812203310337603,0.0,0.0,1079963.0848586443,311121.324406378,1391084.409265034,1391084.4092650223,1.1641532182693481e-08
2025-12-05,685.6900024414062,0.8558808170620311,0.0,0.0,1061305.196524039,303011.6443163948,1364316.8408404454,1364316.8408404337,1.1641532182693481e-08
2025-12-08,683.6300048828125,0.8336994897687395,0.0,0.0,1057437.026416557,352993.58081643004,1410430.607232987,1410430.607232987,0.0
2025-12-09,683.0399780273438,0.8086314255810207,0.0,0.0,1050348.835345963,372412.1727728052,1422761.0081187799,1422761.0081187682,1.1641532182693481e-08
2025-12-10,687.5700073242188,0.8036813731883852,0.0,0.0,1015613.5951571516,308879.64496127097,1324493.2401184458,1324493.2401184225,2.3283064365386963e-08
2025-12-11,689.1699829101562,0.7816734686598545,0.0,0.0,995498.4248181921,297260.11011305964,1292758.534931275,1292758.5349312518,2.3283064365386963e-08
2025-12-12,681.760009765625,0.811131632823251,0.0,0.0,1052635.6522434624,425988.2003647974,1478623.852608283,1478623.8526082598,2.3283064365386963e-08
2025-12-15,680.72998046875,0.7874601671148419,0.0,0.0,1041211.8786216946,462726.71346974093,1503938.5920914588,1503938.5920914356,2.3283064365386963e-08
2025-12-16,678.8699951171875,0.7669694593780783,0.0,0.0,1044907.1077067871,507156.4097038703,1552063.5174106807,1552063.5174106574,2.3283064365386963e-08
2025-12-17,671.4000244140625,0.800317304715181,0.0,0.0,1106530.1455180626,639562.7924530301,1746092.9379710695,1746092.9379710928,-2.3283064365386963e-08
2025-12-18,676.469970703125,0.8015953056858289,0.0,0.0,-2300791.38350751,3917695.8209488774,1616904.4374413788,1616904.4374413672,1.1641532182693481e-08
2025-12-19,680.5900268554688,0.7939595997722045,0.0,0.0,-2314817.4847254646,3826724.4183061295,1511906.933580665,1511906.933580665,0.0
